"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"Éric Marchand","GreaterEuropean","WestEuropean","French","M","conf/cvpr/ComportMC04",1
"Éric Piel","GreaterEuropean","WestEuropean","French","M","conf/kbse/GonzalezPG08",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/DinS03",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanJS07",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/soda/BostanCOSSS07",4
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/Schost15",0
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/Schost05",0
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/MorozS16",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/DahanMSWX05",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/HoevenLS13",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/PascalS06",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanSCSL12",3
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/eurocrypt/GaudryS04",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/Schost02",0
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/LiMS07",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/FeoS09",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanLSSW04",3
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanLS03",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/DahanS04",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/JeannerodNSV16",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/FeoDS13",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanCSLS07",4
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanCS14",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanSS08",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanCS15",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/FeoDS14",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/FilateiLMS06",3
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanCS16",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/LebretonMS13",2
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/BostanS09",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/LebretonS12",1
"Éric Schost","GreaterEuropean","WestEuropean","Germanic","M","conf/issac/MihailescuMS07",2
"Éric Soutif","GreaterEuropean","WestEuropean","French","M","conf/isaac/DemangeKS05",2
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/gpce/TanterN05",0
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/msr/CallauRTR11",2
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/popl/GarciaCT16",2
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/gpce/TanterMBA10",0
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/icse/AldrichGHMNSSSTW11",8
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/iwpc/KleinschmagerHRS12",3
"Éric Tanter","GreaterEuropean","WestEuropean","French","M","conf/gpce/TanterSNP02",0
"Éric Villemonte de la Clergerie","GreaterEuropean","WestEuropean","Hispanic","M","conf/cikm/FernandezCF08",1
"Éric Villemonte de la Clergerie","GreaterEuropean","WestEuropean","Hispanic","M","conf/acl/BarthelemyBDC01",3
"Éric Villemonte de la Clergerie","GreaterEuropean","WestEuropean","Hispanic","M","conf/acl/SagotC06",1
"Érick Alphonse","GreaterEuropean","Jewish","\N","M","conf/icml/AlphonseM02",0
"Érick Lopez-Ornelas","GreaterEuropean","British","\N","M","conf/icde/KukhunSLS08",2
"Érika F. Cota","GreaterEuropean","WestEuropean","Hispanic","F","conf/icsm/VieiraFC14",2
"Étienne André","GreaterEuropean","WestEuropean","Nordic","M","conf/icse/TanA00DC13",1
"Étienne André","GreaterEuropean","WestEuropean","Nordic","M","conf/www/TanCA0LD14",2
